X,Y
0,0
1,24
2,47
3,70
4,94
5,117
6,140
7,164
8,187
9,210
10,234
11,257
12,281
13,304
14,327
15,351
16,374
17,398
18,421
19,444
20,467
21,491
22,514
23,538
24,561
25,584
26,608
27,631
28,654
29,678
30,701
31,725
32,748
33,771
34,794
35,818
36,841
37,865
38,888
39,911
40,934
41,958
42,981
43,1004
44,1028
45,1051
46,1075
47,1098
48,1121
49,1144
50,1168
51,1191
52,1214
53,1237
54,1261
55,1284
56,1307
57,1331
58,1354
59,1377
60,1401
61,1424
62,1447
63,1471
64,1494
65,1517
66,1540
67,1563
68,1587
69,1610
70,1634
71,1657
72,1680
73,1703
74,1727
75,1750
76,1773
77,1796
78,1819
79,1842
80,1866
81,1889
82,1912
83,1935
84,1959
85,1982
86,2005
87,2028
88,2051
89,2074
90,2098
91,2121
92,2144
93,2167
94,2190
95,2214
96,2237
97,2260
98,2283
99,2306
100,2329
101,2353
102,2375
103,2399
104,2422
105,2445
106,2468
107,2491
108,2514
109,2537
110,2561
111,2583
112,2607
113,2630
114,2653
115,2676
116,2699
117,2722
118,2745
119,2768
120,2791
121,2814
122,2837
123,2860
124,2883
125,2906
126,2929
127,2952
128,2975
129,2998
130,3021
131,3044
132,3067
133,3090
134,3113
135,3136
136,3159
137,3182
138,3204
139,3228
140,3250
141,3273
142,3296
143,3319
144,3342
145,3365
146,3388
147,3410
148,3433
149,3456
150,3479
151,3502
152,3525
153,3548
154,3570
155,3593
156,3616
157,3639
158,3662
159,3685
160,3707
161,3730
162,3753
163,3776
164,3798
165,3821
166,3844
167,3866
168,3889
169,3912
170,3935
171,3957
172,3980
173,4002
174,4025
175,4048
176,4071
177,4093
178,4116
179,4138
180,4161
181,4183
182,4206
183,4229
184,4251
185,4274
186,4296
187,4319
188,4341
189,4364
190,4386
191,4409
192,4431
193,4454
194,4477
195,4499
196,4522
197,4544
198,4566
199,4589
200,4611
201,4634
202,4656
203,4679
204,4701
205,4723
206,4746
207,4768
208,4790
209,4813
210,4835
211,4857
212,4880
213,4902
214,4924
215,4947
216,4969
217,4991
218,5013
219,5036
220,5058
221,5080
222,5103
223,5124
224,5147
225,5169
226,5191
227,5213
228,5235
229,5258
230,5280
231,5302
232,5324
233,5346
234,5368
235,5390
236,5412
237,5435
238,5456
239,5479
240,5500
241,5523
242,5544
243,5567
244,5588
245,5610
246,5633
247,5654
248,5676
249,5698
250,5720
251,5742
252,5764
253,5786
254,5808
255,5830
256,5851
257,5873
258,5895
259,5917
260,5938
261,5960
262,5982
263,6004
264,6026
265,6047
266,6069
267,6091
268,6113
269,6134
270,6156
271,6177
272,6199
273,6221
274,6242
275,6264
276,6285
277,6307
278,6329
279,6350
280,6372
281,6393
282,6415
283,6436
284,6458
285,6479
286,6501
287,6522
288,6544
289,6565
290,6587
291,6608
292,6629
293,6651
294,6672
295,6693
296,6715
297,6736
298,6757
299,6779
300,6800
301,6821
302,6843
303,6864
304,6885
305,6906
306,6927
307,6949
308,6969
309,6991
310,7012
311,7033
312,7054
313,7075
314,7096
315,7117
316,7138
317,7160
318,7180
319,7202
320,7223
321,7244
322,7264
323,7285
324,7306
325,7327
326,7348
327,7369
328,7390
329,7411
330,7432
331,7452
332,7473
333,7494
334,7515
335,7536
336,7556
337,7577
338,7598
339,7619
340,7639
341,7660
342,7680
343,7701
344,7722
345,7742
346,7763
347,7784
348,7804
349,7825
350,7845
351,7866
352,7886
353,7907
354,7927
355,7947
356,7968
357,7988
358,8009
359,8029
360,8049
361,8070
362,8090
363,8111
364,8131
365,8151
366,8172
367,8192
368,8212
369,8232
370,8252
371,8273
372,8293
373,8313
374,8333
375,8353
376,8373
377,8393
378,8413
379,8434
380,8454
381,8473
382,8494
383,8513
384,8533
385,8554
386,8573
387,8593
388,8613
389,8633
390,8653
391,8673
392,8693
393,8712
394,8732
395,8752
396,8772
397,8792
398,8811
399,8831
400,8851
401,8870
402,8890
403,8910
404,8929
405,8949
406,8969
407,8988
408,9008
409,9027
410,9046
411,9066
412,9085
413,9105
414,9124
415,9144
416,9163
417,9182
418,9202
419,9221
420,9241
421,9260
422,9279
423,9298
424,9318
425,9337
426,9356
427,9375
428,9395
429,9413
430,9433
431,9452
432,9471
433,9490
434,9509
435,9528
436,9547
437,9566
438,9585
439,9604
440,9623
441,9642
442,9661
443,9680
444,9698
445,9717
446,9736
447,9755
448,9774
449,9793
450,9811
451,9830
452,9849
453,9867
454,9886
455,9905
456,9923
457,9942
458,9961
459,9979
460,9997
461,10016
462,10034
463,10053
464,10071
465,10090
466,10108
467,10127
468,10145
469,10164
470,10182
471,10200
472,10218
473,10237
474,10255
475,10273
476,10291
477,10310
478,10328
479,10346
480,10364
481,10382
482,10400
483,10418
484,10436
485,10454
486,10472
487,10490
488,10508
489,10526
490,10544
491,10562
492,10580
493,10598
494,10616
495,10633
496,10651
497,10669
498,10687
499,10704
500,10722
501,10740
502,10758
503,10775
504,10793
505,10810
506,10828
507,10845
508,10863
509,10880
510,10898
511,10915
512,10933
513,10950
514,10968
515,10985
516,11002
517,11020
518,11037
519,11054
520,11071
521,11089
522,11106
523,11123
524,11140
525,11157
526,11175
527,11191
528,11209
529,11226
530,11243
531,11260
532,11277
533,11294
534,11310
535,11328
536,11345
537,11361
538,11378
539,11395
540,11412
541,11429
542,11445
543,11462
544,11479
545,11496
546,11512
547,11529
548,11545
549,11562
550,11579
551,11595
552,11611
553,11628
554,11645
555,11661
556,11677
557,11694
558,11710
559,11727
560,11743
561,11759
562,11776
563,11792
564,11808
565,11824
566,11840
567,11857
568,11873
569,11889
570,11905
571,11921
572,11937
573,11953
574,11969
575,11985
576,12001
577,12017
578,12033
579,12049
580,12064
581,12080
582,12096
583,12112
584,12127
585,12143
586,12159
587,12175
588,12190
589,12206
590,12221
591,12237
592,12253
593,12268
594,12284
595,12299
596,12314
597,12330
598,12345
599,12361
600,12376
601,12391
602,12407
603,12422
604,12437
605,12452
606,12468
607,12483
608,12498
609,12513
610,12528
611,12544
612,12558
613,12574
614,12589
615,12603
616,12618
617,12633
618,12648
619,12663
620,12678
621,12693
622,12708
623,12722
624,12737
625,12752
626,12766
627,12781
628,12796
629,12810
630,12825
631,12839
632,12854
633,12869
634,12883
635,12898
636,12912
637,12926
638,12941
639,12955
640,12969
641,12984
642,12998
643,13012
644,13026
645,13041
646,13055
647,13069
648,13083
649,13097
650,13111
651,13125
652,13139
653,13153
654,13167
655,13181
656,13195
657,13209
658,13223
659,13236
660,13250
661,13264
662,13278
663,13292
664,13305
665,13319
666,13332
667,13346
668,13359
669,13373
670,13387
671,13400
672,13413
673,13427
674,13440
675,13454
676,13467
677,13480
678,13494
679,13507
680,13520
681,13534
682,13547
683,13560
684,13573
685,13586
686,13599
687,13612
688,13625
689,13638
690,13651
691,13664
692,13677
693,13690
694,13703
695,13716
696,13728
697,13741
698,13754
699,13767
700,13780
701,13792
702,13805
703,13818
704,13830
705,13842
706,13855
707,13868
708,13880
709,13892
710,13905
711,13917
712,13930
713,13942
714,13954
715,13967
716,13979
717,13991
718,14003
719,14015
720,14028
721,14039
722,14052
723,14064
724,14076
725,14088
726,14100
727,14112
728,14124
729,14135
730,14147
731,14159
732,14171
733,14182
734,14194
735,14206
736,14218
737,14229
738,14241
739,14252
740,14264
741,14276
742,14287
743,14299
744,14310
745,14322
746,14333
747,14344
748,14355
749,14367
750,14378
751,14389
752,14401
753,14412
754,14423
755,14434
756,14445
757,14456
758,14467
759,14478
760,14489
761,14500
762,14511
763,14522
764,14533
765,14543
766,14554
767,14565
768,14576
769,14586
770,14597
771,14608
772,14619
773,14629
774,14640
775,14650
776,14661
777,14671
778,14681
779,14692
780,14702
781,14713
782,14723
783,14733
784,14744
785,14754
786,14764
787,14774
788,14784
789,14794
790,14804
791,14814
792,14825
793,14834
794,14844
795,14855
796,14864
797,14874
798,14884
799,14894
800,14903
801,14913
802,14923
803,14933
804,14943
805,14952
806,14962
807,14971
808,14981
809,14990
810,15000
811,15009
812,15019
813,15028
814,15037
815,15047
816,15056
817,15065
818,15075
819,15084
820,15093
821,15102
822,15111
823,15120
824,15129
825,15138
826,15147
827,15156
828,15165
829,15174
830,15183
831,15191
832,15200
833,15209
834,15218
835,15227
836,15235
837,15244
838,15253
839,15261
840,15270
841,15278
842,15287
843,15295
844,15304
845,15312
846,15321
847,15329
848,15337
849,15345
850,15353
851,15362
852,15370
853,15378
854,15386
855,15394
856,15402
857,15410
858,15418
859,15426
860,15434
861,15442
862,15450
863,15458
864,15466
865,15473
866,15481
867,15489
868,15497
869,15504
870,15512
871,15520
872,15527
873,15534
874,15542
875,15549
876,15557
877,15564
878,15572
879,15579
880,15586
881,15594
882,15601
883,15608
884,15615
885,15622
886,15629
887,15637
888,15644
889,15650
890,15658
891,15664
892,15671
893,15678
894,15685
895,15692
896,15699
897,15705
898,15712
899,15719
900,15726
901,15732
902,15739
903,15745
904,15752
905,15758
906,15765
907,15771
908,15778
909,15784
910,15790
911,15797
912,15803
913,15810
914,15815
915,15822
916,15828
917,15834
918,15840
919,15846
920,15852
921,15858
922,15864
923,15870
924,15876
925,15882
926,15888
927,15893
928,15899
929,15905
930,15911
931,15916
932,15922
933,15927
934,15933
935,15939
936,15944
937,15950
938,15955
939,15961
940,15966
941,15971
942,15976
943,15982
944,15987
945,15992
946,15997
947,16003
948,16008
949,16013
950,16018
951,16023
952,16028
953,16033
954,16038
955,16043
956,16048
957,16052
958,16057
959,16062
960,16067
961,16072
962,16076
963,16081
964,16085
965,16090
966,16094
967,16099
968,16103
969,16108
970,16112
971,16117
972,16121
973,16125
974,16130
975,16134
976,16138
977,16142
978,16146
979,16150
980,16155
981,16158
982,16163
983,16166
984,16170
985,16174
986,16178
987,16182
988,16186
989,16190
990,16193
991,16197
992,16201
993,16205
994,16208
995,16212
996,16215
997,16219
998,16222
999,16225
1000,16229
1001,16232
1002,16236
1003,16239
1004,16242
1005,16246
1006,16249
1007,16252
1008,16255
1009,16258
1010,16262
1011,16265
1012,16267
1013,16271
1014,16273
1015,16276
1016,16279
1017,16282
1018,16285
1019,16288
1020,16290
1021,16293
1022,16296
1023,16298
1024,16301
1025,16304
1026,16306
1027,16309
1028,16311
1029,16314
1030,16316
1031,16319
1032,16321
1033,16323
1034,16325
1035,16328
1036,16330
1037,16332
1038,16335
1039,16336
1040,16339
1041,16341
1042,16343
1043,16345
1044,16347
1045,16349
1046,16351
1047,16352
1048,16354
1049,16356
1050,16358
1051,16359
1052,16361
1053,16363
1054,16365
1055,16366
1056,16368
1057,16369
1058,16371
1059,16372
1060,16374
1061,16375
1062,16376
1063,16378
1064,16379
1065,16380
1066,16381
1067,16383
1068,16384
1069,16385
1070,16386
1071,16387
1072,16388
1073,16389
1074,16390
1075,16391
1076,16392
1077,16393
1078,16394
1079,16395
1080,16395
1081,16396
1082,16397
1083,16397
1084,16398
1085,16399
1086,16399
1087,16400
1088,16400
1089,16400
1090,16401
1091,16402
1092,16402
1093,16402
1094,16403
1095,16403
1096,16403
1097,16403
1098,16403
1099,16404
1100,16404
1101,16404
1102,16404
1103,16404
1104,16403
1105,16404
1106,16404
1107,16403
1108,16403
1109,16403
1110,16403
1111,16403
1112,16402
1113,16402
1114,16402
1115,16401
1116,16400
1117,16400
1118,16400
1119,16399
1120,16399
1121,16398
1122,16397
1123,16397
1124,16396
1125,16395
1126,16395
1127,16394
1128,16393
1129,16392
1130,16391
1131,16390
1132,16389
1133,16388
1134,16387
1135,16386
1136,16385
1137,16384
1138,16383
1139,16382
1140,16380
1141,16379
1142,16378
1143,16376
1144,16375
1145,16373
1146,16372
1147,16371
1148,16369
1149,16368
1150,16366
1151,16364
1152,16363
1153,16361
1154,16359
1155,16358
1156,16356
1157,16354
1158,16352
1159,16350
1160,16349
1161,16347
1162,16345
1163,16343
1164,16341
1165,16339
1166,16336
