Date,Total_cases,New_cases
2020/01/27,1,1
2020/01/28,2,1
2020/01/29,3,1
2020/01/30,4,1
2020/01/31,6,2
2020/02/01,6,0
2020/02/02,6,0
2020/02/03,6,0
2020/02/04,6,0
2020/02/05,6,0
2020/02/06,6,0
2020/02/07,6,0
2020/02/08,6,0
2020/02/09,6,0
2020/02/10,6,0
2020/02/11,6,0
2020/02/12,6,0
2020/02/13,6,0
2020/02/14,6,0
2020/02/15,6,0
2020/02/16,6,0
2020/02/17,7,1
2020/02/18,7,0
2020/02/19,7,0
2020/02/20,8,1
2020/02/21,8,0
2020/02/22,8,0
2020/02/23,8,0
2020/02/24,8,0
2020/02/25,8,0
2020/02/26,10,2
2020/02/27,10,0
2020/02/28,12,2
2020/02/29,16,4
2020/03/01,16,0
2020/03/02,21,5
2020/03/03,23,2
2020/03/04,28,5
2020/03/05,35,7
2020/03/06,45,10
2020/03/07,53,8
2020/03/08,57,4
2020/03/09,74,17
2020/03/10,89,15
2020/03/11,115,26
2020/03/12,138,23
2020/03/13,186,48
2020/03/14,229,43
2020/03/15,261,32
2020/03/16,298,37
2020/03/17,351,53
2020/03/18,393,42
2020/03/19,436,43
2020/03/20,499,63
2020/03/21,535,36
2020/03/22,577,42
2020/03/23,655,78
2020/03/24,726,71
2020/03/25,805,79
2020/03/26,878,73
2020/03/27,944,66
2020/03/28,984,40
2020/03/29,1009,25
2020/03/30,1083,74
2020/03/31,1135,52
2020/04/01,1185,50
2020/04/02,1237,52
2020/04/03,1280,43
2020/04/04,1312,32
2020/04/05,1354,42
2020/04/06,1407,53
2020/04/07,1449,42
2020/04/08,1519,70
2020/04/09,1587,68
2020/04/10,1668,81
2020/04/11,1709,41
2020/04/12,1733,24
2020/04/13,1773,40
2020/04/14,1817,44
2020/04/15,1848,31
2020/04/16,1874,26
2020/04/17,1914,40
2020/04/18,1929,15
2020/04/19,1943,14
2020/04/20,1968,25
2020/04/21,1994,26
2020/04/22,2043,49
2020/04/23,2063,20
2020/04/24,2092,29
2020/04/25,2106,14
2020/04/26,2117,11
2020/04/27,2141,24
2020/04/28,2162,21
2020/04/29,2190,28
2020/04/30,2201,11
2020/05/01,2223,22
2020/05/02,2235,12
2020/05/03,2243,8
2020/05/04,2262,19
2020/05/05,2275,13
2020/05/06,2302,27
2020/05/07,2315,13
2020/05/08,2339,24
2020/05/09,2350,11
2020/05/10,2353,3
2020/05/11,2373,20
2020/05/12,2388,15
2020/05/13,2408,20
2020/05/14,2432,24
2020/05/15,2447,15
2020/05/16,2462,15
2020/05/17,2469,7
2020/05/18,2508,39
2020/05/19,2552,44
2020/05/20,2588,36
2020/05/21,2609,21
2020/05/22,2636,27
2020/05/23,2653,17
2020/05/24,2655,2
2020/05/25,2662,7
2020/05/26,2692,30
2020/05/27,2731,39
2020/05/28,2754,23
2020/05/29,2798,44
2020/05/30,2814,16
2020/05/31,2824,10
2020/06/01,2858,34
2020/06/02,2883,25
2020/06/03,2924,41
2020/06/04,2960,36
2020/06/05,2997,37
2020/06/06,3010,13
2020/06/07,3028,18
2020/06/08,3067,39
2020/06/09,3113,46
2020/06/10,3176,63
2020/06/11,3226,50
2020/06/12,3284,58
2020/06/13,3305,21
