X,M
0,0
1,33
2,66
3,99
4,132
5,165
6,198
7,231
8,264
9,297
10,330
11,363
12,396
13,429
14,462
15,495
16,528
17,561
18,594
19,627
20,660
21,693
22,726
23,759
24,792
25,825
26,858
27,891
28,924
29,957
30,990
31,1023
32,1056
33,1089
34,1122
35,1155
36,1189
37,1222
38,1255
39,1288
40,1321
41,1354
42,1387
43,1420
44,1453
45,1486
46,1519
47,1553
48,1586
49,1619
50,1652
51,1685
52,1718
53,1751
54,1784
55,1817
56,1851
57,1884
58,1917
59,1950
60,1983
61,2016
62,2049
63,2082
64,2116
65,2149
66,2182
67,2215
68,2248
69,2281
70,2314
71,2347
72,2381
73,2414
74,2447
75,2480
76,2513
77,2546
78,2579
79,2613
80,2646
81,2679
82,2712
83,2745
84,2778
85,2811
86,2844
87,2878
88,2911
89,2944
90,2977
91,3010
92,3043
93,3076
94,3109
95,3143
96,3176
97,3209
98,3242
99,3275
100,3308
101,3341
102,3374
103,3408
104,3441
105,3474
106,3507
107,3540
108,3573
109,3606
110,3639
111,3672
112,3705
113,3738
114,3772
115,3805
116,3838
117,3871
118,3904
119,3937
120,3970
121,4003
122,4036
123,4069
124,4102
125,4135
126,4168
127,4201
128,4234
129,4267
130,4300
131,4333
132,4366
133,4400
134,4433
135,4466
136,4499
137,4532
138,4565
139,4598
140,4631
141,4663
142,4696
143,4729
144,4762
145,4795
146,4828
147,4861
148,4894
149,4927
150,4960
151,4993
152,5026
153,5059
154,5092
155,5125
156,5158
157,5191
158,5223
159,5256
160,5289
161,5322
162,5355
163,5388
164,5421
165,5453
166,5486
167,5519
168,5552
169,5585
170,5618
171,5650
172,5683
173,5716
174,5749
175,5782
176,5814
177,5847
178,5880
179,5913
180,5945
181,5978
182,6011
183,6044
184,6076
185,6109
186,6142
187,6174
188,6207
189,6240
190,6272
191,6305
192,6338
193,6370
194,6403
195,6436
196,6468
197,6501
198,6533
199,6566
200,6599
201,6631
202,6664
203,6696
204,6729
205,6761
206,6794
207,6826
208,6859
209,6891
210,6924
211,6956
212,6989
213,7021
214,7054
215,7086
216,7118
217,7151
218,7183
219,7216
220,7248
221,7280
222,7313
223,7345
224,7377
225,7410
226,7442
227,7474
228,7507
229,7539
230,7571
231,7603
232,7636
233,7668
234,7700
235,7732
236,7765
237,7797
238,7829
239,7861
240,7893
241,7925
242,7957
243,7990
244,8022
245,8054
246,8086
247,8118
248,8150
249,8182
250,8214
251,8246
252,8278
253,8310
254,8342
255,8374
256,8406
257,8438
258,8470
259,8502
260,8534
261,8565
262,8597
263,8629
264,8661
265,8693
266,8725
267,8756
268,8788
269,8820
270,8852
271,8883
272,8915
273,8947
274,8978
275,9010
276,9042
277,9073
278,9105
279,9137
280,9168
281,9200
282,9231
283,9263
284,9295
285,9326
286,9358
287,9389
288,9421
289,9452
290,9483
291,9515
292,9546
293,9578
294,9609
295,9640
296,9672
297,9703
298,9734
299,9766
300,9797
301,9828
302,9859
303,9891
304,9922
305,9953
306,9984
307,10015
308,10047
309,10078
310,10109
311,10140
312,10171
313,10202
314,10233
315,10264
316,10295
317,10326
318,10357
319,10388
320,10419
321,10450
322,10481
323,10511
324,10542
325,10573
326,10604
327,10635
328,10666
329,10696
330,10727
331,10758
332,10788
333,10819
334,10850
