,hart
0,-2207
1,-1851
2,-1105
3,-347
4,199
5,519
6,662
7,356
8,-84
9,-539
10,-1208
11,-1506
12,-2371
13,-3501
14,-3817
15,-4072
16,-3947
17,-3690
18,-3543
19,-3184
20,-2947
21,-2635
22,-2355
23,-2230
24,-2076
25,-2216
26,-2265
27,-1998
28,-1788
29,-1733
30,-1661
31,-1397
32,-1211
33,-1221
34,-1343
35,-1285
36,-1218
37,-1206
38,-1102
39,-1212
40,-1297
41,-1267
42,-1247
43,-1081
44,-1046
45,-1209
46,-1122
47,-992
48,-1049
49,-843
50,-716
51,-604
52,-430
53,-321
54,-227
55,-280
56,22
57,215
58,227
59,441
60,520
61,609
62,797
63,688
64,685
65,788
66,691
67,785
68,828
69,689
70,595
71,497
72,531
73,252
74,87
75,234
76,127
77,41
78,87
79,61
80,30
81,148
82,215
83,333
84,666
85,528
86,528
87,961
88,951
89,821
90,1054
91,1113
92,1162
93,1265
94,1306
95,1336
96,1388
97,1547
98,1532
99,1436
100,1308
101,1135
102,1046
103,1044
104,1159
105,867
106,820
107,979
108,920
109,907
110,826
111,924
112,1065
113,1263
114,1342
115,1267
116,1424
117,1468
118,1401
119,1512
120,1655
121,1761
122,1758
123,1499
124,1348
125,1427
126,1406
127,1298
128,1295
129,1294
130,1116
131,1023
132,1006
133,727
134,536
135,402
136,167
137,-120
138,-353
139,-436
140,-426
141,-582
142,-635
143,-587
144,-642
145,-530
146,-415
147,-342
148,-89
149,96
150,259
151,390
152,555
153,718
154,884
155,859
156,795
157,914
158,886
159,884
160,889
161,584
162,562
163,495
164,162
165,178
166,160
167,-40
168,58
169,136
170,14
171,-156
172,-349
173,-475
174,-671
175,-845
176,-729
177,-414
178,-135
179,183
180,651
181,986
182,1427
183,1886
184,2170
185,2274
186,2484
187,2671
188,2468
189,2302
190,2138
191,1991
192,1937
193,1788
194,1477
195,1316
196,1126
197,763
198,579
199,463
200,319
201,157
202,-69
203,-221
204,-313
205,-515
206,-653
207,-650
208,-676
209,-524
210,-618
211,-757
212,-581
213,-531
214,-417
215,-394
216,-429
217,-253
218,-342
219,-361
220,-216
221,-214
222,-134
223,2
224,65
225,-58
226,20
227,165
228,136
229,83
230,-30
231,-148
232,-151
233,-395
234,-605
235,-656
236,-868
237,-826
238,-829
239,-838
240,-821
241,-785
242,-648
243,-590
244,-448
245,-386
246,-418
247,-344
248,-280
249,-333
250,-469
251,-424
252,-246
253,-414
254,-457
255,-478
256,-526
257,-505
258,-668
259,-709
260,-764
261,-929
262,-980
263,-1049
264,-1173
265,-1412
266,-1469
267,-1380
268,-1536
269,-1550
270,-1570
271,-1574
272,-1550
273,-1531
274,-1404
275,-1618
276,-1749
277,-1706
278,-1695
279,-1740
280,-1889
281,-1979
282,-1974
283,-1998
284,-2015
285,-2003
286,-1887
287,-1664
288,-1510
289,-1400
290,-1202
291,-1127
292,-780
293,-638
294,-449
295,-222
296,-256
297,-40
298,9
299,97
300,257
301,301
302,467
303,554
304,649
305,758
306,643
307,595
308,641
309,675
310,493
311,357
312,409
313,169
314,153
315,159
316,-3
317,222
318,156
319,91
320,139
321,212
322,363
323,168
324,174
325,120
326,176
327,397
328,521
329,737
330,907
331,1150
332,1427
333,1717
334,2067
335,2160
336,2406
337,2808
338,2897
339,2934
340,3184
341,3221
342,3135
343,3078
344,3028
345,2897
346,2805
347,2883
348,2585
349,2526
350,2531
351,2234
352,2254
353,2102
354,1912
355,1675
356,1437
357,1449
358,1078
359,817
360,738
361,427
362,367
363,383
364,234
365,179
366,142
367,4
368,-133
369,-32
370,-152
371,-228
372,-227
373,-162
374,-194
375,-288
376,-173
377,-43
378,33
379,-20
380,-218
381,-168
382,-41
383,51
384,138
385,55
386,167
387,203
388,72
389,69
390,-43
391,-23
392,-150
393,-366
394,-377
395,-526
396,-687
397,-830
398,-1043
399,-1014
400,-1164
401,-1385
402,-1511
403,-1567
404,-1473
405,-1565
406,-1584
407,-1544
408,-1544
409,-1295
410,-1343
411,-1342
412,-1133
413,-1059
414,-912
415,-985
416,-1082
417,-947
418,-988
419,-1222
420,-1176
421,-1044
422,-923
423,-491
424,-207
425,-68
426,295
427,551
428,789
429,983
430,1004
431,1014
432,1076
433,900
434,658
435,506
436,228
437,-57
438,-198
439,-336
440,-361
441,-509
442,-613
443,-588
444,-780
445,-976
446,-975
447,-873
448,-826
449,-795
450,-850
451,-907
452,-885
453,-998
454,-1132
455,-1364
456,-1493
457,-1512
458,-1566
459,-1508
460,-1380
461,-1291
462,-1090
463,-1019
464,-1132
465,-1174
466,-1350
467,-1440
468,-1599
469,-1744
470,-1837
471,-1930
472,-1882
